moment,agency,social
I received a package of books from Amazon that I have been anticipating.,yes,no
I was walking with my friend smoking a cigarrette and checking the mail box.,yes,yes
Sleeping very well last night.,yes,no
"I watched Netflix, while eating my hummus.",yes,no
My cat was planning on ambushing me from behind my computer tower and instead of grabbing me he managed to spill a bowl of food on himself.,no,yes
I got new glasses recently and they make my face look half decent.,yes,no
"My son said ""I love you mommy"".",no,yes
I made some money on mturk,yes,no
I got a small bonus for some work I did.,no,no
I went to work and nothing went wrong,yes,no
Watching my 4 year old son play soccer.,yes,yes
I bought some flowers for my yards.,yes,no
I was able to spend some quality time with friends at the lake.,yes,yes
"Despite only getting a little over four hour sleep, I still had a great workout today after I finished up my job.",yes,no
I found out my niece is having a baby girl in December of this year!,no,yes
Mom brought home food from outside surprising  everyone.,no,yes
I was happy it rained on my veggie garden.,no,no
An event that made me happy today was watching someone play a video game.,yes,yes
I had a professional meeting with a colleague and we got a lot done.,yes,yes
I was happy when I found out I got a job interview for next week for a position I really want.,yes,no
"I spent time with my mother and we didn't end up fighting at all, which is much more normal for us.",no,yes
"I turned the page on the calendar, and I saw where my husband wrote I love you on our wedding anniversary date.",yes,yes
Going for a drive with my neighbor where we talked and laughed,yes,yes
It was my mom's birthday and I made her a cake that she really enjoyed.,yes,yes
My roommate cooked dinner.,no,yes
The fact that I get to watch Gonzaga play in their first national championship game tonight on television.,yes,no
I had dinner with a friend I hadn't seen in years.,yes,yes
Bought a new website.,yes,no
"I had a new, delicious ice cream flavor.",yes,no
I went apartment shopping all weekend and was so hopeful to actually see some places in my price range and see the layouts were nice and in the same city I live in.,yes,no
I took myself on a long hike.,yes,no
I bought a new i7 processor online that I desperately needed and found on sale!,yes,no
Last night after dinner when I made chocolate pudding with my daughter and we hand whipped cream to go on top.,yes,yes
When I went out to eat crab legs.,yes,no
An event that made me happy was my apartment getting refurnished today,yes,no
I went to the park with my sister.,yes,yes
I stayed home with my daughter who was sick and we spent quality time together.,yes,yes
Our grandma came to our house we are so happy to see her,no,yes
I enjoyed a cigarette in the rain.,yes,no
I watched an entertaining episode of the television series 'Homeland'.,yes,no
Finally had the Cheddar Biscuit Shrimp box I have been craving for the past week for lunch.,yes,no
My professor approved the revised proposal for my final project.,yes,yes
"At the morning, when my boss talked that today his baby have born.",no,yes
I won a league of legends computer game match.,yes,no
I went to the movies with my girlfriend,yes,yes
Playing with my cat,yes,no
I got ice cream with my family after work!,yes,yes
I got an email that I was going to receive a bonus at work for my success on my latest project.,yes,yes
I taught my daughter how to fly a kite yesterday and she was ecstatic.,yes,yes
i worked all day and i made a bunch of cash.,yes,no
I made an A on a quiz today,yes,no
I talked to my daughter on the phone.,yes,yes
I went out to Chick-fil-a for lunch.,yes,no
I had a really nice hour long phone conversation with my mom this evening.,yes,yes
Having udon for dinner.,yes,no
My happy moment was going to my mother in laws house this morning for a delicious homemade breakfast.,yes,yes
The day with my wife,yes,yes
I received my child's second term report card and discovered that she is as adept at reading as I thought.,no,yes
I had a glass of iced coffee in the morning.,yes,no
I received a friend request from a long-lost friend on facebook!,yes,yes
"During my work in the office, my coworker who is more than 40 years older than me said, ""Thank you for always being such a wonderful young man.""",yes,yes
My dog throwing her pink alien toy around.,no,no
I presented an important project at work and it went well.,yes,no
I got 18 out 20 on my Philosophy paper!,yes,no
I had a delicious California burrito for lunch.,yes,no
I won a match in a game I was playing.,yes,no
My dad said I could pick out any shirt I wanted to wear for accepted student's day this Friday.,no,yes
A long chat with my dad past night make me feel happy,yes,yes
Buying a gourmet dessert,yes,no
I was able to fix a bug in one of my programs and that allowed me to finish other tasks.,yes,no
I got my visiting visa approved,yes,no
"My friend got a new car and she let me ride with her in it, it is a very nice car.",no,yes
YESTERDAY I WENT TO DINNER WITH MY FRIENDS,yes,yes
"Yesterday i won marathon organised by my office, very happy.",yes,yes
I WENT TO TEMPLE,yes,no
I watched a new unexpected music video from a group I like.,yes,yes
I WENT TO TEMPLE,yes,no
I watched Wrestlemania 33 on Sunday.,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I went to shopping mall.,yes,no
I went to the soaking pool with a friend I haven't seen in a while.,yes,yes
I planned a trip with my friends.,yes,yes
My dog gave me kisses.,no,no
Today I got the job and right now when i search for the survey you guys are asking this question how co-coincidence it is..,yes,yes
I met a nice dog today.,yes,yes
I played guitar with a friend of mine for a couple hours.,yes,yes
Playing video games.,yes,no
Last night father give me a surprise gift as CAR occasion of my birthday its a happiest event for me.,no,yes
Baseball season has started!,no,no
family members are go to yercaud we are see the 12months once born the kurinji flower,yes,no
"I was happy yesterday when my parents called and talked to me for an hour, telling me many funny stories of their new retired life.",yes,yes
"I won $500 bucks on a scratch off ticket that I purchased earlier today, I am still pretty much in shock that I won such a large amount.",yes,no
"My friends gave me a gift for my birthday, it really made me appreciated since i wasn't sure they cared enough",no,yes
I was able to see my parents for the first time in a long time.,yes,yes
Starting a new show on my app that I found interesting.,yes,no
I received a piece of mail that I had requested over a week ago.,yes,no
My boss' boss brought in two types of snacks for our meeting.,no,yes
My wife mentioned to me that she signed up for us to foster a rescue puppy that needs care.,no,yes
I received an $18 gratuity from a table that was very difficult to serve,no,yes
I went out with a couple friends and drank a ton; by the end of the night we were a lot closer as friends.,yes,yes
I ate Alfonso Mango of this season first time.,yes,no
My girlfriend made it another into her pregnancy.,yes,yes
I was happy when I had a conversation with a friend that retired from work few weeks ago; it was nice to hear from him again.,yes,yes
"I went to the club last night with my friends and had a great time there, so I was happy.",yes,yes
I made a really good dinner.,yes,no
